english_id,hebrew_name,total_olim,avg_age,pct_employed,pct_female,pct_male,score,madad
abu_gosh,אבו גוש,7,26.1,57.1,28.6,71.4,-0.711,3
misgav,אבטליון,1,28.0,100.0,100.0,0.0,0.619,7
merom_hagalil,אביבים,1,10.0,0.0,100.0,0.0,0.016,5
emek_hefer,אביחיל,10,30.2,60.0,70.0,30.0,1.241,8
mate_yehuda,אביעזר,9,41.6,77.8,44.4,55.6,0.757,7
jerusalem_yerushalayim,אבן יהודה,227,20.7,18.1,51.5,48.5,-1.196,2
maale_yosef,אבן מנחם,1,27.0,100.0,0.0,100.0,0.466,7
shafir,אבן שמואל,37,16.2,27.0,48.6,51.4,-0.055,5
shomron,אבני חפץ,3,50.0,66.7,33.3,66.7,0.272,6
eshkol,אבשלום,7,30.1,28.6,28.6,71.4,0.309,6
netanya,אדורה,1,70.0,100.0,100.0,0.0,0.084,6
mate_asher,אדמית,4,61.5,0.0,50.0,50.0,0.52,7
mate_yehuda,אדרת,10,27.6,30.0,50.0,50.0,0.757,7
hof_hasharon,אודים,12,29.8,58.3,66.7,33.3,1.38,8
golan,אודם,1,65.0,100.0,0.0,100.0,0.207,6
hagilboa,אומן,3,48.7,66.7,100.0,0.0,-0.098,5
emek_hefer,אומץ,6,44.2,33.3,50.0,50.0,1.241,8
ofakim,אופקים,412,33.5,45.1,58.7,41.3,-0.73,3
shaar_hanegev,אור הנר,33,30.5,42.4,42.4,57.6,0.769,7
or_yehuda,אור יהודה,291,31.8,52.6,46.4,53.6,0.005,5
or_akiva,אור עקיבא,1006,36.5,52.8,51.2,48.8,-0.009,5
mate_yehuda,אורה,15,18.9,33.3,73.3,26.7,0.757,7
beer_tuvya,אורות,1,18.0,0.0,100.0,0.0,0.856,7
eshkol,אורים,87,21.1,24.1,39.1,60.9,0.309,6
ramat_yishay,אורנית,59,40.1,62.7,57.6,42.4,1.31,8
zvulun,אושה,4,33.2,50.0,25.0,75.0,-0.014,5
azor,אזור,116,35.7,67.2,49.1,50.9,0.496,7
beer_tuvya,אחוה,1,67.0,0.0,100.0,0.0,0.856,7
lahish,אחוזם,6,42.0,50.0,33.3,66.7,0.548,7
emek_yizrael,אחוזת ברק,10,34.0,30.0,40.0,60.0,1.115,8
mate_asher,אחיהוד,4,35.2,50.0,75.0,25.0,0.52,7
emek_lod,אחיעזר,4,25.2,50.0,75.0,25.0,0.185,6
shaar_hanegev,איבים,747,23.5,9.2,47.5,52.5,0.769,7
hagilboa,איל,1,26.0,100.0,0.0,100.0,-0.098,5
hevel_eielot,אילות,34,25.5,26.5,64.7,35.3,-0.055,5
eilat,אילת,5093,34.8,64.0,48.4,51.6,0.151,6
netanya,אילת השחר,12,35.2,58.3,50.0,50.0,0.084,6
gan_rave,אירוס,7,31.4,57.1,42.9,57.1,1.389,8
ramat_gan,איתמר,9,49.7,55.6,33.3,66.7,1.099,8
shafir,איתן,1,36.0,100.0,100.0,0.0,-0.055,5
shafir,אלומה,2,22.0,50.0,50.0,50.0,-0.055,5
emek_hayarden,אלומות,4,56.0,50.0,50.0,50.0,0.475,7
emek_yizrael,אלון הגליל,3,40.0,33.3,33.3,66.7,1.115,8
shomron,אלון מורה,11,21.9,36.4,54.5,45.5,0.272,6
gush_etzion,אלון שבות,211,26.9,47.4,36.5,63.5,0.144,6
menashe,אלוני יצחק,38,18.0,18.4,52.6,47.4,0.638,7
emek_yizrael,אלונים,3,25.0,66.7,33.3,66.7,1.115,8
ramat_negev,אלי על,3,14.7,33.3,33.3,66.7,0.206,6
elyahin,אליכין,8,23.8,62.5,62.5,37.5,0.4,7
hevel_eielot,אליפז,19,20.4,52.6,52.6,47.4,-0.055,5
mevoot_hahermon,אליפלט,2,64.5,100.0,50.0,50.0,0.799,7
megido,אליקים,1,27.0,100.0,100.0,0.0,0.467,7
emek_hefer,אלישיב,1,25.0,100.0,100.0,0.0,1.241,8
drom_hasharon,אלישמע,2,18.5,0.0,50.0,50.0,1.416,8
jerusalem_yerushalayim,אלמוג,1,31.0,100.0,100.0,0.0,-1.196,2
elad,אלעד,139,32.2,44.6,48.2,51.8,-1.452,2
hod_hasharon,אלעזר,45,35.2,57.8,53.3,46.7,1.567,9
alfei_menashe,אלפי מנשה,59,38.4,52.5,55.9,44.1,1.142,8
jerusalem_yerushalayim,אלקנה,17,36.4,41.2,47.1,52.9,-1.196,2
ramat_gan,אלרום,1,86.0,0.0,0.0,100.0,1.099,8
beer_tuvya,אמונים,1,45.0,100.0,0.0,100.0,0.856,7
merom_hagalil,אמירים,18,29.0,61.1,38.9,61.1,0.016,5
mevoot_hahermon,אמנון,6,9.8,16.7,33.3,66.7,0.799,7
golan,אניעם,3,13.3,33.3,100.0,0.0,0.207,6
golan,אפיק,3,63.3,66.7,66.7,33.3,0.207,6
emek_hayarden,אפיקים,93,23.9,35.5,47.3,52.7,0.475,7
jerusalem_yerushalayim,אפרתה,929,29.3,40.8,52.1,47.9,-1.196,2
shaar_hanegev,ארז,35,22.1,31.4,42.9,57.1,0.769,7
jerusalem_yerushalayim,אריאל,1113,35.5,58.8,50.9,49.1,-1.196,2
hof_hasharon,ארסוף,24,31.0,54.2,50.0,50.0,1.38,8
ashdod,אשדוד,15385,37.0,57.5,51.0,49.0,-0.246,5
emek_hayarden,אשדות יעקב אחוד,30,26.3,43.3,40.0,60.0,0.475,7
emek_hayarden,אשדות יעקב מאוחד,97,24.6,41.2,54.6,45.4,0.475,7
misgav,אשחר,19,25.9,31.6,57.9,42.1,0.619,7
ramat_negev,אשלים,4,34.2,75.0,75.0,25.0,0.206,6
ashkelon,אשקלון,9550,36.2,52.6,51.9,48.1,-0.135,5
mate_yehuda,אשתאול,3,27.7,66.7,33.3,66.7,0.757,7
hevel_eielot,באר אורה,1,54.0,100.0,100.0,0.0,-0.055,5
beer_tuvya,באר טוביה,4,19.0,25.0,50.0,50.0,0.856,7
beer_yaakov,באר יעקב,269,32.3,42.4,50.9,49.1,0.783,7
beer_sheva,באר שבע,10631,33.6,50.7,49.5,50.5,-0.111,5
hevel_modiin,בארות יצחק,12,22.2,50.0,25.0,75.0,0.837,7
eshkol,בארי,3,22.0,100.0,33.3,66.7,0.309,6
mate_asher,בוסתן הגליל,10,30.9,70.0,30.0,70.0,0.52,7
emek_hefer,בורגתה,5,56.2,40.0,40.0,60.0,1.241,8
emek_hefer,בחן,5,25.4,40.0,20.0,80.0,1.241,8
merhavim,בטחה,2,19.5,0.0,100.0,0.0,0.232,6
merom_hagalil,ביריה,13,37.5,84.6,38.5,61.5,0.016,5
hof_hacarmel,בית אורן,1,67.0,0.0,100.0,0.0,1.043,8
tel_aviv_yafo,בית אל,66,36.3,53.0,54.5,45.5,1.293,8
brener,בית אלעזרי,3,29.7,66.7,33.3,66.7,1.239,8
hagilboa,בית אלפא,459,28.0,22.0,48.8,51.2,-0.098,5
lod,בית אריה,28,37.4,50.0,46.4,53.6,-0.738,3
drom_hasharon,בית ברל,2,26.5,50.0,0.0,100.0,1.416,8
hevel_yavne,בית גמליאל,3,75.3,66.7,33.3,66.7,0.069,6
beit_dagan,בית דגן,25,35.6,40.0,36.0,64.0,0.571,7
sdot_negev,בית הגדי,5,41.6,60.0,40.0,60.0,0.185,6
mevoot_hahermon,בית הלל,1,32.0,100.0,100.0,0.0,0.799,7
mate_asher,בית העמק,8,32.8,50.0,37.5,62.5,0.52,7
mate_yehuda,בית זית,15,33.5,60.0,46.7,53.3,0.757,7
emek_hayarden,בית זרע,92,22.4,33.7,51.1,48.9,0.475,7
tel_aviv_yafo,בית חורון,3,72.3,33.3,33.3,66.7,1.293,8
hof_hacarmel,בית חנניה,2,35.0,50.0,50.0,50.0,1.043,8
emek_hefer,בית חרות,2,14.0,50.0,100.0,0.0,1.241,8
gezer,בית חשמונאי,3,50.7,100.0,33.3,66.7,1.162,8
hof_hasharon,בית יהושע,9,30.3,66.7,66.7,33.3,1.38,8
emek_hamaayanot,בית יוסף,1,27.0,100.0,100.0,0.0,0.304,6
emek_hefer,בית ינאי,1,69.0,0.0,100.0,0.0,1.241,8
emek_hefer,בית יצחק שער חפר,10,34.8,60.0,50.0,50.0,1.241,8
emek_yizrael,בית לחם הגלילית,2,69.5,50.0,50.0,50.0,1.115,8
mate_yehuda,בית מאיר,3,23.0,66.7,33.3,66.7,0.757,7
hevel_modiin,בית נחמיה,2,51.5,100.0,50.0,50.0,0.837,7
yoav,בית ניר,7,31.4,71.4,57.1,42.9,1.111,8
beer_tuvya,בית עזרא,1,19.0,0.0,100.0,0.0,0.856,7
hevel_modiin,בית עריף,4,17.0,50.0,50.0,50.0,0.837,7
ramat_gan,בית צבי,51,17.1,7.8,9.8,90.2,1.099,8
bnei_shimon,בית קמה,2,18.5,100.0,50.0,50.0,0.971,7
hagalil_hatahton,בית קשת,2,19.0,0.0,0.0,100.0,0.594,7
hevel_yavne,בית רבן,11,18.8,36.4,63.6,36.4,0.069,6
hagalil_hatahton,בית רמון,10,20.2,10.0,40.0,60.0,0.594,7
bet_shean,בית שאן,193,30.9,46.1,48.2,51.8,-0.392,4
beit_shemesh,בית שמש,6348,26.4,42.0,51.6,48.4,-1.485,2
kiryat_tivon,בית שערים,1,25.0,100.0,0.0,100.0,1.215,8
